"category","sound1","response"
"BirdsFlyingOff","01",6.6
"BirdSong","01",5.95
"BirdSquawk","01",7.6
"CarHorn","01",2.8
"CarSkidding","01",5.3
"CarStarting","01",6.45
"CatHissing","01",5.25
"CatMeowing","01",3.3
"CatPurring","01",5.6
"ChildrenPlaying","01",4.8
"CocktailParty","01",7.45
"CoughingAdultFemale","01",7.05
"CoughingAdultMale","01",4.8
"CowMoo","01",4.6
"CrowdApplause","01",7.3
"CrowdCheering","01",6.85
"CryingAdultFemale","01",2.4
"CryingAdultMale","01",5.35
"CryingChild","01",7.15
"DogBarking","01",7.7
"DogGrowling","01",6.45
"DogHowling","01",5.15
"Drilling","01",6.6
"DrillingPneumatic","01",3.4
"Fire","01",5.9
"Footsteps","01",7.85
"Hammer","01",8.25
"Helicopter","01",6.3
"HorseGalloping","01",7.3
"HorseNeighing","01",5.5
"HorseSnorting","01",5
"InsectsBuzzing","01",3.45
"InsectsStridulation","01",3.1
"JetPassing","01",6.2
"LaughingAdultFemale","01",6.65
"LaughingAdultMale","01",6.15
"LaughingChild","01",7.65
"LaughingGroup","01",6.7
"Propeller","01",5.15
"Rain","01",7.4
"River","01",6.25
"Sawing","01",3.15
"SawingManual","01",5.95
"SeaWaves","01",5.5
"Sneezing","01",6.05
"Snoring","01",5.85
"ThroatClearing","01",7.1
"Thunder","01",5.2
"TrainBrakes","01",4.55
"TrainSignal","01",5.5
"TrainWagons","01",4.65
"Waterfall","01",5.85
"Wind","01",6.65
"BirdsFlyingOff","02",5.25
"BirdSong","02",5.9
"BirdSquawk","02",6.7
"CarHorn","02",5.95
"CarSkidding","02",5.8
"CarStarting","02",4.35
"CatHissing","02",6.85
"CatMeowing","02",6.8
"CatPurring","02",3.85
"ChildrenPlaying","02",5.8
"CocktailParty","02",6.75
"CoughingAdultFemale","02",5.35
"CoughingAdultMale","02",7.4
"CowMoo","02",3.95
"CrowdApplause","02",5.55
"CrowdCheering","02",6.95
"CryingAdultFemale","02",7.05
"CryingAdultMale","02",8
"CryingChild","02",6.5
"DogBarking","02",8.1
"DogGrowling","02",4.35
"DogHowling","02",8.05
"Drilling","02",4.6
"DrillingPneumatic","02",5.65
"Fire","02",5.4
"Footsteps","02",7.3
"Hammer","02",3.4
"Helicopter","02",7.05
"HorseGalloping","02",8.5
"HorseNeighing","02",7.95
"HorseSnorting","02",5.9
"InsectsBuzzing","02",4.25
"InsectsStridulation","02",2.75
"JetPassing","02",6.25
"LaughingAdultFemale","02",6.5
"LaughingAdultMale","02",6.95
"LaughingChild","02",7.25
"LaughingGroup","02",5.9
"Propeller","02",5
"Rain","02",6.05
"River","02",8.2
"Sawing","02",5.55
"SawingManual","02",5.1
"SeaWaves","02",5.7
"Sneezing","02",4.1
"Snoring","02",6.35
