"category","sound1","sound2","response"
"BirdsFlyingOff","01","01",7.6
"BirdSong","01","01",7.9
"BirdSquawk","01","01",8
"CarHorn","01","01",8
"CarSkidding","01","01",8
"CarStarting","01","01",8
"CatHissing","01","01",7.7
"CatMeowing","01","01",8
"CatPurring","01","01",7.9
"ChildrenPlaying","01","01",7.9
"CocktailParty","01","01",8
"CoughingAdultFemale","01","01",8
"CoughingAdultMale","01","01",8
"CowMoo","01","01",7.8
"CrowdApplause","01","01",8
"CrowdCheering","01","01",8
"CryingAdultFemale","01","01",7.8
"CryingAdultMale","01","01",8
"CryingChild","01","01",8
"DogBarking","01","01",7.9
"DogGrowling","01","01",7.7
"DogHowling","01","01",8
"Drilling","01","01",7.6
"DrillingPneumatic","01","01",8
"Fire","01","01",8
"Footsteps","01","01",7.6
"Hammer","01","01",7.2
"Helicopter","01","01",7.4
"HorseGalloping","01","01",7.8
"HorseNeighing","01","01",7.8
"HorseSnorting","01","01",8
"InsectsBuzzing","01","01",8
"InsectsStridulation","01","01",7.9
"JetPassing","01","01",8
"LaughingAdultFemale","01","01",7.5
"LaughingAdultMale","01","01",7.5
"LaughingChild","01","01",8
"LaughingGroup","01","01",8
"Propeller","01","01",8
"Rain","01","01",8
"River","01","01",8
"Sawing","01","01",8
"SawingManual","01","01",7.9
"SeaWaves","01","01",7.4
"Sneezing","01","01",8
"Snoring","01","01",8
"ThroatClearing","01","01",8
"Thunder","01","01",7.7
"TrainBrakes","01","01",8
"TrainSignal","01","01",7.8
"TrainWagons","01","01",8
"Waterfall","01","01",8
"Wind","01","01",7.9
"BirdsFlyingOff","02","01",5.9
"BirdSong","02","01",2.7
"BirdSquawk","02","01",1.7
"CarHorn","02","01",4.6
"CarSkidding","02","01",2.9
"CarStarting","02","01",2.7
"CatHissing","02","01",3.6
"CatMeowing","02","01",2
"CatPurring","02","01",3
"ChildrenPlaying","02","01",4.1
"CocktailParty","02","01",5.3
"CoughingAdultFemale","02","01",4.5
"CoughingAdultMale","02","01",3.3
"CowMoo","02","01",3.3
"CrowdApplause","02","01",4.9
"CrowdCheering","02","01",3.6
"CryingAdultFemale","02","01",3.5
"CryingAdultMale","02","01",5
"CryingChild","02","01",2.1
"DogBarking","02","01",4.4
"DogGrowling","02","01",2.8
"DogHowling","02","01",2.9
"Drilling","02","01",4.5
"DrillingPneumatic","02","01",3.2
"Fire","02","01",4
"Footsteps","02","01",4.2
"Hammer","02","01",1.9
"Helicopter","02","01",4.9
"HorseGalloping","02","01",5.7
"HorseNeighing","02","01",4
"HorseSnorting","02","01",3.8
"InsectsBuzzing","02","01",2.3
"InsectsStridulation","02","01",4.8
"JetPassing","02","01",7.2
"LaughingAdultFemale","02","01",3.5
"LaughingAdultMale","02","01",3.3
"LaughingChild","02","01",3.7
"LaughingGroup","02","01",5.5
"Propeller","02","01",4.2
"Rain","02","01",6.2
"River","02","01",3.4
"Sawing","02","01",2.3
"SawingManual","02","01",2.9
"SeaWaves","02","01",4.8
"Sneezing","02","01",4
"Snoring","02","01",4.8
"ThroatClearing","02","01",6.3
"Thunder","02","01",2.8
"TrainBrakes","02","01",4.8
"TrainSignal","02","01",2.4
"TrainWagons","02","01",2.6
"Waterfall","02","01",5.5
"Wind","02","01",4.4
"BirdsFlyingOff","03","01",1.7
"BirdSong","03","01",3.2
"BirdSquawk","03","01",2.7
"CarHorn","03","01",3.8
"CarSkidding","03","01",1.7
"CarStarting","03","01",3.2
"CatHissing","03","01",6.3
"CatMeowing","03","01",3.7
"CatPurring","03","01",3.2
"ChildrenPlaying","03","01",5.1
"CocktailParty","03","01",3.7
"CoughingAdultFemale","03","01",3.2
"CoughingAdultMale","03","01",5.7
"CowMoo","03","01",3.3
"CrowdApplause","03","01",3.3
"CrowdCheering","03","01",3.2
"CryingAdultFemale","03","01",3.3
"CryingAdultMale","03","01",3.4
"CryingChild","03","01",2.3
"DogBarking","03","01",1.8
"DogGrowling","03","01",3.6
"DogHowling","03","01",2.3
"Drilling","03","01",3.6
"DrillingPneumatic","03","01",4.4
"Fire","03","01",2.8
"Footsteps","03","01",3.3
"Hammer","03","01",4.1
"Helicopter","03","01",4.4
"HorseGalloping","03","01",3.4
"HorseNeighing","03","01",4.1
"HorseSnorting","03","01",2
"InsectsBuzzing","03","01",3.1
"InsectsStridulation","03","01",4.2
"JetPassing","03","01",2.8
"LaughingAdultFemale","03","01",5.3
"LaughingAdultMale","03","01",2.4
"LaughingChild","03","01",4.1
"LaughingGroup","03","01",5.2
"Propeller","03","01",3.4
"Rain","03","01",2.5
"River","03","01",3.5
"Sawing","03","01",2.5
"SawingManual","03","01",3.7
"SeaWaves","03","01",5
"Sneezing","03","01",3
"Snoring","03","01",2.8
"ThroatClearing","03","01",3.8
"Thunder","03","01",5.8
"TrainBrakes","03","01",3.3
"TrainSignal","03","01",2.3
"TrainWagons","03","01",2.7
"Waterfall","03","01",3.5
"Wind","03","01",3.4
"BirdsFlyingOff","04","01",4.9
"BirdSong","04","01",2.6
"BirdSquawk","04","01",1.7
"CarHorn","04","01",2.8
"CarSkidding","04","01",1.5
"CarStarting","04","01",3.7
"CatHissing","04","01",4.4
"CatMeowing","04","01",3.9
"CatPurring","04","01",1.8
"ChildrenPlaying","04","01",3.2
"CocktailParty","04","01",3.2
"CoughingAdultFemale","04","01",4
"CoughingAdultMale","04","01",5.9
"CowMoo","04","01",2.8
"CrowdApplause","04","01",4
"CrowdCheering","04","01",4.9
"CryingAdultFemale","04","01",4.6
"CryingAdultMale","04","01",4.1
"CryingChild","04","01",2.1
"DogBarking","04","01",5.1
"DogGrowling","04","01",1.8
"DogHowling","04","01",3.1
"Drilling","04","01",3.4
"DrillingPneumatic","04","01",3.4
"Fire","04","01",4.1
"Footsteps","04","01",2.2
"Hammer","04","01",6
"Helicopter","04","01",2.1
"HorseGalloping","04","01",5.1
"HorseNeighing","04","01",3
"HorseSnorting","04","01",2.8
"InsectsBuzzing","04","01",4.4
"InsectsStridulation","04","01",3.4
"JetPassing","04","01",2.5
"LaughingAdultFemale","04","01",3.8
"LaughingAdultMale","04","01",2.1
"LaughingChild","04","01",3.5
"LaughingGroup","04","01",3.3
"Propeller","04","01",3.7
"Rain","04","01",2.7
"River","04","01",3.1
"Sawing","04","01",4
"SawingManual","04","01",3.3
"SeaWaves","04","01",3.2
"Sneezing","04","01",5.8
"Snoring","04","01",2
"ThroatClearing","04","01",3.3
"Thunder","04","01",5.7
"TrainBrakes","04","01",4.5
"TrainSignal","04","01",3.1
"TrainWagons","04","01",3
"Waterfall","04","01",3.5
"Wind","04","01",2.1
"BirdsFlyingOff","05","01",6.7
"BirdSong","05","01",2.1
"BirdSquawk","05","01",3.1
"CarHorn","05","01",2.6
"CarSkidding","05","01",1.9
"CarStarting","05","01",2.4
